Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type
"Miami, FL","San Antonio, TX",2018.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","San Antonio, TX",2293.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","San Diego, CA",3288.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","San Diego, CA",3462.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","San Diego, CA",3806.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","San Diego, CA",4325.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Dallas, TX",1758.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Dallas, TX",1850.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Dallas, TX",2035.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Dallas, TX",2313.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","San Francisco, CA",3739.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","San Francisco, CA",3935.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","San Francisco, CA",4328.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","San Francisco, CA",4920.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Austin, TX",2132.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Austin, TX",2245.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Austin, TX",2467.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Austin, TX",2803.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Jacksonville, FL",689.00,9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries
"Miami, FL","Jacksonville, FL",725.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Jacksonville, FL",763.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Jacksonville, FL",838.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Jacksonville, FL",953.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Indianapolis, IN",1777.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Indianapolis, IN",1870.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Indianapolis, IN",2057.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Indianapolis, IN",2338.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Columbus, OH",1595.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Columbus, OH",1678.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Columbus, OH",1848.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Columbus, OH",2098.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Fort Worth, TX",1785.00,10' Truck,Studio to 1 Bedroom Apt.
